Measure|Data Type|Template Id|Data Type Value Set|Data Type Value OID|Attribute
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Right Modifier|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1230|bodySite
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Left Modifier|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1148|bodySite
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Bilateral Modifier|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1043|bodySite
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Clinical Unilateral Mastectomy|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1948|code
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Clinical Right Modifier|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1950|bodySite
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Clinical Left Modifier|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1949|bodySite
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Clinical Bilateral Modifier|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1951|bodySite
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Absence of Left Breast|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1329|code
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Unilateral Mastectomy Left|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1334|code
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|History of Bilateral Mastectomy|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1331|code
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Bilateral Mastectomy|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1042|code
BCSEHEDISMY2022.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Mammography|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1168|code
BCSEHEDISMY2022.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Hospice Intervention|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1762|code
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|completed||status
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|in-progress||status
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Hospice Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1761|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
BCSEHEDISMY2022.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Palliative Care Assessment|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.2225|code
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Palliative Care Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1450|type
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Palliative Care Intervention|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.2224|code
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Encounter for palliative care|Z51.5:ICD-10|code
BCSEHEDISMY2022.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Frailty Device|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1530|code
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Frailty Diagnosis|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1531|code
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Frailty Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1532|type
BCSEHEDISMY2022.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Frailty Symptom|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1533|code
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Acute Inpatient|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1810|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||diagnosis
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||diagnosis.condition
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Advanced Illness|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1465|code
BCSEHEDISMY2022.xml|MedicationDispense|http://hl7.org/fhir/StructureDefinition/MedicationDispense|Dementia Medications|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1729|medication
BCSEHEDISMY2022.xml|MedicationDispense|http://hl7.org/fhir/StructureDefinition/MedicationDispense|||whenHandedOver
BCSEHEDISMY2022.xml|MedicationDispense|http://hl7.org/fhir/StructureDefinition/MedicationDispense|||status
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Outpatient|outpatient:MedicationRequestCategory|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Observation|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1191|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|ED|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1086|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Telephone Visits|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1246|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Online Assessments|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1446|type
BCSEHEDISMY2022.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Nonacute Inpatient|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1189|type
HospitalHarmSevereHypoglycemiaFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Encounter Inpatient|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307|type
HospitalHarmSevereHypoglycemiaFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
HospitalHarmSevereHypoglycemiaFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
HospitalHarmSevereHypoglycemiaFHIR.xml|MedicationAdministration|http://hl7.org/fhir/StructureDefinition/MedicationAdministration|Hypoglycemics Severe Hypoglycemia|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1196.393|medication
HospitalHarmSevereHypoglycemiaFHIR.xml|MedicationAdministration|http://hl7.org/fhir/StructureDefinition/MedicationAdministration|||status
HospitalHarmSevereHypoglycemiaFHIR.xml|MedicationAdministration|http://hl7.org/fhir/StructureDefinition/MedicationAdministration|||effective
HospitalHarmSevereHypoglycemiaFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Glucose lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.134|code
HospitalHarmSevereHypoglycemiaFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
HospitalHarmSevereHypoglycemiaFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||status
HospitalHarmSevereHypoglycemiaFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||value
HospitalHarmSevereHypoglycemiaFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
HospitalHarmSevereHypoglycemiaFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
HospitalHarmSevereHypoglycemiaFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Observation Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1111.143|type
HospitalHarmSevereHypoglycemiaFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Emergency Department Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.292|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Office Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1001|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|qicore-recorded||period
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Ophthalmological Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1285|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Outpatient Consultation|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1008|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Care Services in Long-Term Residential Facility|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1014|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Nursing Facility Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1012|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Diabetic Retinopathy|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.327|code
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|active|active:ConditionClinicalStatusCodes|clinicalStatus
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|recurrence|recurrence:ConditionClinicalStatusCodes|clinicalStatus
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|relapse|relapse:ConditionClinicalStatusCodes|clinicalStatus
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||onset
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||abatement
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||recordedDate
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|Level of Severity of Retinopathy Findings|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1283|reasonCode
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|||status
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|Medical Reason|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1007|statusReason
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|Patient Reason|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1008|statusReason
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|||sent
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|Macular edema absent (situation)|428341000124108:SNOMEDCT|reasonCode
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Communication|http://hl7.org/fhir/StructureDefinition/Communication|Macular Edema Findings Present|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1320|reasonCode
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Macular Exam|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1251|code
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||status
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|amended||status
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|corrected||status
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||value
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
DRCommunicationWithPhysicianManagingDiabetesFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Office Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1001|type
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services - Established Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1025|type
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services-Initial Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1023|type
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Home Healthcare Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1016|type
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Telephone Visits|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1246|type
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Online Assessments|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1446|type
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Hysterectomy with No Residual Cervix|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.12.1014|code
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||status
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||performed
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Congenital or Acquired Absence of Cervix|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.111.12.1016|code
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|active|active:ConditionClinicalStatusCodes|clinicalStatus
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|recurrence|recurrence:ConditionClinicalStatusCodes|clinicalStatus
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|relapse|relapse:ConditionClinicalStatusCodes|clinicalStatus
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||onset
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||abatement
CervicalCancerScreeningFHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||recordedDate
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Pap Test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1017|code
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||status
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|amended||status
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|corrected||status
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||category
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||value
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|HPV Test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.110.12.1059|code
CervicalCancerScreeningFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
CervicalCancerScreeningFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Encounter Inpatient|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307|type
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Discharge to home for hospice care (procedure)|428361000124107:SNOMEDCT:2017-09|hospitalization
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Discharge to healthcare facility for hospice care (procedure)|428371000124100:SNOMEDCT:2017-09|hospitalization
CervicalCancerScreeningFHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|Hospice care ambulatory|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1108.15|code
CervicalCancerScreeningFHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|active||status
CervicalCancerScreeningFHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|completed||status
CervicalCancerScreeningFHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|||intent
CervicalCancerScreeningFHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|||authoredOn
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Hospice care ambulatory|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1108.15|code
CervicalCancerScreeningFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Functional Assessment of Chronic Illness Therapy - Palliative Care Questionnaire (FACIT-Pal)|71007-9:LOINC|code
CervicalCancerScreeningFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Palliative Care Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1450|type
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Palliative Care Intervention|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.2224|code
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|completed||status
CervicalCancerScreeningFHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|in-progress||status
HybridHWRFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Observation Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1111.143|type
HybridHWRFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
HybridHWRFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Emergency Department Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.292|type
HybridHWRFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Encounter Inpatient|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307|type
HybridHWRFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
HybridHWRFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Medicare payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1104.10|type
HybridHWRFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||status
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|amended||status
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|preliminary||status
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||value
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Heart rate|8867-4:LOINC:2.69|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Systolic blood pressure|8480-6:LOINC:2.69|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Respiratory rate|9279-1:LOINC:2.69|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Body temperature|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.152|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Oxygen saturation in Arterial blood by Pulse oximetry|59408-5:LOINC:2.69|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Body weight|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.159|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||issued
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||value
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Hematocrit lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.114|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|White blood cells count lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.129|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Potassium lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.117|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Sodium lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.119|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Bicarbonate lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.139|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Creatinine lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.2363|code
HybridHWRFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Glucose lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.134|code
HybridHWRFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Office Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1001|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care - Established Office Visit, 0 to 17|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1024|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care- Initial Office Visit, 0 to 17|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1022|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services - Established Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1025|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services-Initial Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1023|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Clinical Oral Evaluation|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.125.12.1003|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Telephone Visits|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1246|type
PrimaryCariesPreventionasOfferedbyPCPsincludingDentistsFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Online Assessments|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1446|type
